Feature,Importance
osm_name_Moyne Road,0.0
osm_name_Muckross Parade,0.0
osm_name_Mulberry Lane,0.0
osm_name_Mount Eden Road,0.0
osm_name_Mulroy Road,0.0
osm_name_Munster Street,0.0
osm_name_Murtagh Road,0.0
osm_name_Muskerry Road,0.0
osm_name_Myrtle Street,0.0
osm_name_Naas Road,0.0
osm_name_Nash Street,0.0
osm_name_Nassau Street,0.0
osm_name_Naul Road,0.0
osm_name_Navan Road,0.0
osm_name_Neagh Road,0.0
osm_name_Mullinahack,0.0
osm_name_Mount Olive Grove,0.0
osm_name_Mount Olive Park,0.0
osm_name_Mount Olive Road,0.0
osm_name_Mount Prospect Avenue,0.0
osm_name_Mount Prospect Drive,0.0
osm_name_Mount Prospect Grove,0.0
osm_name_Mount Prospect Lawns,0.0
osm_name_Mount Prospect Park,0.0
osm_name_Mount Saint Annes,0.0
osm_name_Mount Sandford,0.0
osm_name_Mount Street Crescent,0.0
osm_name_Mountpleasant Avenue Upper,0.0
osm_name_Mount Street Upper,0.0
osm_name_Mount Tallant Avenue,0.0
osm_name_Mountain View Avenue,0.0
osm_name_Mountain View Road,0.0
osm_name_Mountjoy Square East,0.0
osm_name_Mountjoy Square North,0.0
osm_name_Mountjoy Square South,0.0
osm_name_Mountjoy Square West,0.0
osm_name_Mountjoy Street,0.0
osm_name_Mountjoy Street Middle,0.0
osm_name_Mountpleasant Avenue Lower,0.0
osm_name_Mount Street Lower,0.0
osm_name_Mayor Street Upper,0.0
osm_name_Maywood Avenue,0.0
osm_name_Maywood Cresent,0.0
osm_name_Maywood Drive,0.0
osm_name_Maywood Park,0.0
osm_name_Maywood Road,0.0
osm_name_Mc Kelvey Road,0.0
osm_name_McAuley Avenue,0.0
osm_name_McAuley Park,0.0
osm_name_McAuley Road,0.0
osm_name_Millmount Terrace,0.0
osm_name_McKee Park,0.0
osm_name_McKee Road,0.0
osm_name_McKelvey Avenue,0.0
osm_name_McKenny's Bridge,0.0
osm_name_McMorrough Road,0.0
osm_name_Meade's Terrace,0.0
osm_name_Meath Market,0.0
osm_name_Meath Place,0.0
osm_name_Meath Square,0.0
osm_name_Meath Street,0.0
osm_name_Mellowes Road,0.0
osm_name_McKee Avenue,0.0
osm_name_Mary Street,0.0
osm_name_Mary Street Little,0.0
osm_name_Mary's Abbey,0.0
osm_name_Mary's Lane,0.0
osm_name_Maryfield Crescent,0.0
osm_name_Maryfield Drive,0.0
osm_name_Adare Drive,0.0
osm_name_Mask Avenue,0.0
osm_name_Mask Crescent,0.0
osm_name_Mask Drive,0.0
